Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
39,66574,568,0,2,18,35180,36,1,3,3,640,0.3157605520713817,2,0,0.0736808345053516,0,0,0,23,8,10938,5680,24727,21967,5547.833333333333,0.723879482156921,7,2760,0.2361799999999999,0.2618377627547097,1420.8703143164623,0.3714730040525963,0,51.0
41,52063,548,1,2,18,13959,48,2,0,1,190,0.8085704227911298,4,1,0.1851512184706106,0,1,0,24,17,648,1176,31544,113454,4338.583333333333,0.8848190213017221,4,10353,0.234959,0.2567163586760433,468.0847485874936,0.1516819427049905,0,56.0
48,52786,541,0,2,24,7749,24,0,2,2,344,0.3498344957948893,2,1,0.0473267046096224,0,1,0,26,25,1997,517,65976,45018,4398.833333333333,0.7846134775196398,0,20958,0.212249,0.1900680241136289,390.6419853470349,0.1670083701012469,1,40.0
36,23328,498,0,2,11,11966,120,0,4,2,605,0.3136926033758319,5,0,0.2901752018254243,0,3,0,22,8,2839,579,93536,22580,1944.0,0.960451634997648,6,70956,0.3179659999999999,0.3198169823138176,333.0951056525234,0.4825592107266067,0,53.0
23,48026,612,0,2,3,28994,48,0,2,1,373,0.2950853642221235,1,0,0.3805910204887181,0,1,0,28,6,1542,1551,8097,28368,4002.1666666666665,0.829902553902449,3,8338,0.217994,0.2331838441232941,934.3653268528736,0.3266643885027794,0,54.0
61,104402,690,2,0,41,25143,60,3,1,1,361,0.0552740788258581,7,3,0.347063594224905,0,1,0,39,23,38635,260,50652,14269,8700.166666666666,0.9188779428423028,3,36383,0.185143,0.1832711876935525,642.949620640925,0.1153942975009204,1,39.2
55,21582,551,0,1,32,17780,72,0,1,1,673,0.3923816674593808,1,2,0.4121973892097465,0,1,0,23,21,18398,1688,127286,61882,1798.5,0.7563184893991045,10,65404,0.2572799999999999,0.2782722680154341,510.2431634749074,0.6579055676813497,0,56.0
41,70689,637,2,2,20,20488,36,1,1,1,842,0.2472652513417742,0,2,0.0430475792632457,0,2,0,30,25,4952,3149,12991,5950,5890.75,0.568072327671285,6,7041,0.186988,0.180227182632554,740.9237941408331,0.268713456544724,0,50.0
40,81836,520,0,3,18,25064,72,3,1,2,453,0.3108500203436248,3,1,0.6442644222049932,0,3,0,17,5,3184,1805,29235,37821,6819.666666666667,0.7714440785648561,5,6752,0.280064,0.2946526451464721,745.4104737725461,0.1757285997027048,0,59.0
43,66105,607,0,3,18,7544,36,3,2,2,761,0.3578269539477586,6,1,0.3254586985039051,1,0,0,23,5,1548,652,25727,29539,5508.75,0.6179230799411568,6,2456,0.189044,0.1962606199455036,278.9267730205113,0.1887772676234193,0,65.0
80,111290,565,0,2,59,28390,24,3,1,3,167,0.3200064988447088,4,2,0.0358957711946285,0,0,0,20,27,946,2555,13554,11104,9274.166666666666,0.8316906109376611,6,2450,0.2208899999999999,0.2314491692489161,1488.921528490987,0.1785520562664376,1,39.2
18,37098,485,0,0,0,16153,48,0,0,2,299,0.4854833794487366,2,1,0.2954334260064263,0,4,0,23,7,1649,1273,434522,18347,3091.5,0.7357752979416843,6,416175,0.268653,0.2562602888481622,541.2425615018536,0.2717912215758866,0,49.0
60,84672,596,0,2,35,27638,72,1,3,0,373,0.0802498326799282,1,0,0.2777924093220827,0,2,0,19,26,7475,589,69977,20038,7056.0,0.9956887887057188,5,49939,0.244638,0.2116887922877597,680.8668775631847,0.1493575506750545,1,40.0
29,49415,495,0,1,9,18489,72,0,1,0,169,0.5670284719309989,3,1,0.1507591475266403,0,0,0,33,25,9774,396,134094,106355,4117.916666666667,0.7327231657447207,4,27739,0.285989,0.3202686777756888,580.606193825698,0.1820352995225817,0,52.0
37,61529,462,2,2,15,27348,12,1,2,2,176,0.2163561273848563,5,1,0.5166138109248515,0,0,0,20,5,3831,1456,50814,10871,5127.416666666667,0.6554457706131255,3,39943,0.261348,0.2792484757788482,2638.240341525605,0.5488612540152977,0,63.0
34,28403,622,1,2,12,24374,60,0,1,0,125,0.1189597317372413,5,0,0.1059101185255824,0,1,1,30,25,3740,3376,39855,34891,2366.9166666666665,0.7570384048302808,5,4964,0.218374,0.2457912850416367,709.4075869094083,0.3525293470025314,0,57.0
61,94026,670,0,2,40,14158,36,1,0,3,627,0.1834150502543233,2,0,0.4567211131501009,0,0,0,20,29,2190,8761,11302,11120,7835.5,0.7960636554002094,6,2937,0.164158,0.1722678907976396,506.3707662502516,0.1446456213707168,1,38.400000000000006
40,30448,400,0,3,13,29816,60,2,0,1,527,0.4620211831449599,4,0,0.1208465907671288,0,0,0,22,18,1641,4310,14089,21600,2537.333333333333,0.8666763163669615,7,4162,0.334816,0.3293905392224179,1019.1594091135472,0.609363928972759,0,52.0
35,23658,622,0,2,12,18078,72,2,3,2,270,0.4992630069428602,2,0,0.4510535402220599,0,3,0,26,5,4270,803,135563,23232,1971.5,0.8176386660888589,4,112331,0.222078,0.2194538082536604,453.6442164797696,0.3670526079024953,0,54.0
41,73312,561,0,1,20,41720,24,2,2,1,160,0.3848032298822951,5,1,0.3836320331236874,0,4,1,21,28,2477,1062,75346,19872,6109.333333333333,0.8700963245971415,2,55474,0.2362199999999999,0.2187725396396179,2161.82856418163,0.3800461421074252,0,58.0
40,34894,534,0,3,17,18922,24,2,2,1,493,0.1813073008543003,2,1,0.215127709506839,0,0,0,29,19,2089,739,62109,67225,2907.833333333333,0.9173352246691258,2,3762,0.2269219999999999,0.2035081391165354,966.2963096888064,0.501850052050945,0,52.0
41,46504,564,0,3,22,29016,36,3,1,0,475,0.1931655740548841,0,1,0.1458877004487347,1,2,0,25,8,5351,197,92823,20994,3875.3333333333335,0.7730178455514687,1,71829,0.2320159999999999,0.2405586856895192,1139.231783371663,0.4165401126883699,0,61.0
59,18390,631,0,2,36,38958,96,0,1,0,238,0.1223465600793992,2,0,0.2140301284947517,0,1,0,16,9,3161,725,88492,171675,1532.5,0.9535180389351308,7,8541,0.258458,0.2321267495203699,896.002621160857,0.7399690839548821,0,51.0
52,15608,567,0,3,29,20673,36,2,4,2,625,0.1351696127926143,6,0,0.1553673489636726,0,4,0,15,12,4275,3203,14231,17617,1300.6666666666667,0.7779040148486897,4,5390,0.2221729999999999,0.2268912095781856,796.9002654336908,1.0932088150438424,0,51.0
54,15000,640,0,3,32,11444,36,2,0,1,608,0.277335703302282,5,1,0.2751295876165902,0,0,0,20,11,7371,647,116931,4316,1250.0,0.944207483244148,6,112615,0.176444,0.1494126865470155,396.38095772610336,0.8035047661808827,0,47.0
18,100218,478,0,0,0,46749,24,1,0,2,137,0.2188519234574017,4,1,0.1122835558478408,1,4,0,35,8,2549,4328,243957,53622,8351.5,0.663237154053677,3,190335,0.282749,0.3307676064498906,2688.476269266905,0.3383196155501294,0,58.0
30,54578,584,0,2,8,10672,48,2,0,2,136,0.7657462226167481,4,0,0.1208051375854132,0,4,0,30,27,7754,1250,22396,8596,4548.166666666667,0.7899681986260585,7,13800,0.213672,0.1917773586994346,320.0958412715587,0.1002812506002181,1,41.6
36,28926,586,0,1,15,41043,84,0,1,2,214,0.5136745044752412,2,2,0.0549280219994728,0,0,0,24,18,2918,1939,60005,18686,2410.5,0.9416545103029358,6,41319,0.273043,0.295915327363685,1162.289327960238,0.5709559543498187,0,53.0
43,23447,526,0,3,21,23433,24,1,2,1,593,0.8092130133626647,4,1,0.3095816310129675,0,2,0,23,26,5734,297,136418,57605,1953.9166666666667,0.7881952400922807,3,78813,0.235433,0.2630724456189057,1266.0768098770045,0.9514616675277884,0,57.0
29,83518,594,0,2,11,40849,72,2,1,0,280,0.4899682472838468,0,2,0.3391339413619256,1,0,1,23,13,4434,1906,23751,17690,6959.833333333333,0.7822342427892055,6,6061,0.258849,0.2729561579721209,1158.5890448479656,0.2066987779661341,0,72.0
66,26037,605,0,3,43,29194,108,0,1,0,401,0.065970915869706,3,1,0.3405017390998478,0,4,0,13,22,4837,3169,38167,24984,2169.75,0.8961912850012016,3,13183,0.271694,0.268464753604822,719.0454486380562,0.5162094474654022,0,52.0
27,50042,582,0,4,7,19105,60,1,1,2,680,0.1039191338396645,6,3,0.308869314312398,0,1,0,36,14,2214,1219,11162,89196,4170.166666666667,0.9208669734304104,5,7021,0.233105,0.1871293871402189,492.58144374273706,0.2811833524821718,0,53.0
35,40232,578,0,1,11,12640,84,0,5,2,476,0.0541856869815912,6,1,0.1457205861266355,0,4,0,20,6,1307,550,154454,32596,3352.6666666666665,0.8710568361932215,4,121858,0.24864,0.2491799976179143,319.27667923466817,0.2372072019988073,0,48.0
44,64146,596,0,2,21,9508,36,2,3,2,426,0.2642861652354742,6,0,0.2179726194383574,0,2,1,27,15,993,457,50554,59332,5345.5,0.9530720800111832,2,8008,0.196508,0.2198101148980046,363.0214352213667,0.1476047956638979,0,58.0
25,37409,536,0,2,4,24622,36,1,3,0,176,0.3942264310833281,1,0,0.5777704746872321,0,0,1,20,22,208,505,26972,13565,3117.4166666666665,0.7945213888838057,6,13407,0.241622,0.2747728054412268,1011.5136161044512,0.3809287442394454,0,65.0
38,106678,545,0,3,18,18723,48,0,4,0,109,0.584524892933787,4,0,0.24397012816155,0,4,1,24,26,1790,185,146565,7264,8889.833333333334,0.6233690568083098,7,139301,0.241223,0.1952003654843262,564.9707787249034,0.0758136574054523,1,43.2
40,40702,493,0,2,19,27289,48,0,0,2,547,0.2351014147880659,7,1,0.1340577260992786,0,1,0,21,14,31083,856,33496,6038,3391.833333333333,0.7421201697582341,6,27458,0.275789,0.3309468,1032.2875016355356,0.4656147122899716,0,51.0
40,93610,551,0,3,16,31608,84,0,0,2,397,0.0301954410767223,5,0,0.3155915627228162,0,1,0,24,22,3129,537,52597,25396,7800.833333333333,0.8001620006671715,10,27201,0.281108,0.2723200100265747,845.7016831360747,0.1593037089801612,0,52.0
35,80339,572,0,2,16,16184,12,0,1,2,279,0.5056256213576847,5,2,0.3099388876364014,0,4,0,25,27,6960,1772,235961,10059,6694.916666666667,0.7624618878232263,3,225902,0.195184,0.1561472,1465.439120110634,0.2605617376532892,1,40.0
25,43148,438,0,3,3,14211,72,0,1,1,486,0.2239189914997778,3,1,0.1798653674325063,0,0,0,18,17,14671,791,80748,20061,3595.6666666666665,0.7019244495762798,7,60687,0.3102109999999999,0.2848989997921494,413.7880956274272,0.2502423553242126,0,49.0
33,22725,541,0,3,14,42729,72,0,0,0,575,0.4001545070258034,1,0,0.336220357649307,0,2,0,25,13,1153,566,20050,14769,1893.75,0.9217949035632024,6,5281,0.287229,0.2902926846635559,1258.8460500685603,0.968367551191319,0,57.0
26,15000,519,0,2,6,11458,12,1,2,3,417,0.1417386523628336,1,1,0.1127681640380207,0,3,0,27,28,6761,1222,40340,2799,1250.0,0.8236124746364459,3,37541,0.216958,0.2046519619539545,1063.958862095289,1.1847670896762312,0,51.0
33,87243,559,0,2,12,18541,60,0,1,1,333,0.0946258771228403,2,0,0.468737411819096,0,1,0,22,20,1656,1395,118054,9760,7270.25,0.9380286235169566,8,108294,0.244041,0.2360564059276116,529.1512611774999,0.1185861918334995,1,40.0
32,30411,403,0,2,7,32480,24,1,3,2,434,0.4204992373217613,3,1,0.1886576633044605,0,1,1,20,3,8236,1514,24995,29580,2534.25,0.7795583908253094,8,8365,0.30598,0.2764019931056543,1776.8288745156992,0.8723799445657292,0,61.0
18,15000,540,0,1,0,15417,84,0,1,1,543,0.2781319496337341,3,2,0.340042455756247,0,0,0,30,1,1260,6139,116532,63011,1250.0,0.7500081907896301,7,53521,0.270417,0.2765905539550508,416.81587792299376,0.767852702338395,0,58.0
56,16288,550,0,2,31,30543,48,1,0,0,428,0.1946209061892921,4,2,0.100393302472083,0,1,0,23,20,822,875,213055,26585,1357.3333333333333,0.9458173632015964,3,186470,0.2505429999999999,0.2225275661057313,966.486140155153,1.0273719107233446,0,47.0
42,62899,585,0,2,18,11635,60,2,1,2,291,0.0426173469979263,3,3,0.2880655013237544,0,0,1,26,9,915,244,77272,4373,5241.583333333333,0.96320437801841,1,72899,0.224135,0.2213630521217235,322.2483877410315,0.11699678298371,0,56.0
18,35214,571,0,0,0,15293,48,1,2,0,654,0.1362362298372135,2,2,0.6341985486880092,0,2,0,33,15,3989,787,41694,13753,2934.5,0.7444955216921185,4,27941,0.224793,0.2064540373645288,470.64648125571847,0.3832497806289721,0,58.0
20,81463,499,0,3,0,23732,48,0,3,1,689,0.4412584965611418,4,0,0.5025111095654107,0,0,0,17,2,4759,4556,44235,45319,6788.583333333333,0.8550441044436846,6,8117,0.2692319999999999,0.3102785379168244,868.7397564483683,0.2294646290632608,0,62.0
29,25403,575,0,1,7,16295,48,2,2,0,491,0.137347212216757,4,0,0.1620988631470423,0,4,0,21,19,3502,187,72475,9695,2116.9166666666665,0.9757869692051784,4,62780,0.223795,0.209279258790207,503.9545197983453,0.4700017414313326,0,49.0
18,20975,526,1,3,0,49323,24,1,3,0,379,0.4063998304488691,3,1,0.441873955141725,0,0,0,21,25,1837,1687,229603,8101,1747.9166666666667,0.8451165093572166,4,221502,0.261323,0.2617734657098741,2661.6690275995693,1.7395961063740086,0,58.0
26,54252,582,0,2,2,13177,72,1,2,2,368,0.4732437341226768,1,0,0.3565597311135071,0,0,0,23,22,1422,1320,86468,5882,4521.0,0.7090408344748782,4,80586,0.237177,0.2303673522013544,339.24408817332835,0.1564353214274117,0,53.0
61,91186,565,0,0,41,14174,36,0,0,0,231,0.3510399560693521,7,2,0.5315060982344236,0,2,0,21,26,5887,1706,313125,13240,7598.833333333333,0.7287826356213547,2,299885,0.2166739999999999,0.2226935547459387,543.2885657135087,0.1018957163222655,1,40.8
28,89387,587,0,3,3,64829,48,2,4,2,458,0.6066333980604667,4,3,0.7747310464451014,0,1,0,18,19,2175,1958,142017,38349,7448.916666666667,0.7332898731702805,5,103668,0.266329,0.2998641317660645,2333.720302274571,0.374782055861533,0,55.0
23,34368,460,0,2,3,26856,48,1,1,1,267,0.1275781433480746,5,1,0.428589404572723,0,1,1,11,22,2130,116,16212,9352,2864.0,0.5368763252447185,3,6860,0.291856,0.2791249276707551,934.6450060755382,0.4195687870375483,0,62.0
31,32710,509,0,3,9,11722,60,3,2,2,777,0.2657319049856925,4,0,0.1304770637127001,0,3,0,25,6,7247,780,63557,160974,2725.833333333333,0.8262583214349809,3,10013,0.262222,0.2917787625178346,373.34860578353823,0.4220172200979045,0,53.0
38,47017,497,1,2,14,11272,36,2,1,2,205,0.764348693391369,2,0,0.3906986001795878,0,4,0,29,7,1027,3105,85947,102998,3918.0833333333335,0.881154944800438,4,1694,0.247772,0.238298560460838,441.22635701445927,0.1649343064035032,0,61.0
29,68795,551,0,3,4,21383,120,0,3,1,770,0.2267326238075016,4,0,0.2462295742406564,0,0,1,34,18,2320,285,118592,8822,5732.916666666667,0.8044921255235794,3,109770,0.300883,0.2751182486994267,524.8050902981881,0.2258545109903082,0,54.0
57,29693,539,0,3,35,12553,60,0,1,1,499,0.092273409444712,7,1,0.5986537546275674,0,1,0,28,23,15517,662,42431,5412,2474.4166666666665,0.8187171456893916,6,37019,0.248053,0.2309259350896161,354.54310457372304,0.344947201525096,0,59.0
50,50226,579,0,0,28,29227,72,1,1,1,444,0.3591174968509303,5,1,0.3121978269570602,1,4,0,19,16,2308,2986,91973,44918,4185.5,0.7407453906831346,5,47055,0.254727,0.280742367438091,843.3093620846198,0.3075640573610368,0,66.0
53,29682,622,0,1,30,15501,48,1,1,2,555,0.2280935176722563,4,0,0.4171002085110889,0,0,0,32,10,356,919,19999,109811,2473.5,0.5973264073170186,4,10466,0.199501,0.2154218535275977,484.53116237565456,0.4202672983123729,0,55.0
25,34105,525,0,2,7,10504,60,1,3,2,222,0.2163519978740578,2,2,0.4318362569538578,0,2,0,29,27,1705,574,58067,4416,2842.083333333333,0.9091642263596994,5,53651,0.253004,0.3036048,342.1695438534484,0.1985056304424976,0,55.0
29,15818,594,0,1,8,14250,84,0,0,1,681,0.4142907296762256,5,1,0.4732232735838078,0,3,0,35,3,1621,2991,45753,5327,1318.1666666666667,0.6547689378390023,4,40426,0.24225,0.2572219019651925,367.2967287828819,0.7952687283723974,0,62.0
24,51606,501,0,1,4,29878,60,0,4,0,331,0.0595678500872251,7,1,0.1640284216723675,0,1,0,19,4,1593,310,147328,73416,4300.5,0.918277173442165,6,73912,0.2843779999999999,0.3022947197617703,970.870312333235,0.3027253371313184,0,50.0
32,52830,467,0,1,10,23564,12,1,1,3,479,0.311756751580557,3,1,0.4917454748913566,0,4,0,34,17,25424,848,222642,18064,4402.5,0.7432614250469719,4,204578,0.255064,0.2767653917951282,2270.3396783121266,0.6244951001276835,0,52.0
33,36498,578,0,3,8,18844,36,2,0,1,442,0.1884710262263632,4,2,0.25293472407003,0,4,0,19,5,26631,535,74971,106433,3041.5,0.9390019398806256,3,3300,0.214844,0.2030350456183259,703.2280716840288,0.376533970634236,0,54.0
41,25550,558,0,2,18,15890,84,0,1,3,1127,0.4842484845680856,3,2,0.5894494792817732,1,0,0,29,9,1459,795,124588,22825,2129.1666666666665,0.8065318543947543,2,101763,0.26189,0.2834571142806133,436.8024217837429,0.7344668908573352,0,70.0
31,39582,537,0,2,6,16019,48,0,2,2,204,0.1228840347796294,4,1,0.100639640620432,0,0,0,20,2,16028,2093,177073,52299,3298.5,0.9881818986777228,4,124774,0.242519,0.2617108990086426,541.6606050041161,0.2260605138711887,0,50.0
18,56700,494,0,1,0,23154,72,0,0,2,689,0.0333843603296049,1,0,0.3736544234732953,0,1,1,32,4,1414,1031,999381,17370,4725.0,0.674385651552349,3,982011,0.291154,0.3163502778009333,721.1550958700465,0.2984455229354595,1,43.2
51,61156,623,0,2,26,15364,48,1,0,0,693,0.1716178110630322,1,1,0.3803494002630046,0,1,0,23,16,2234,1739,213076,91869,5096.333333333333,0.5271646865800365,5,121207,0.198864,0.1728552672326162,445.6017158930477,0.2234158641951169,1,36.8
42,30361,578,0,1,22,17529,84,1,1,1,612,0.1333731708996208,3,1,0.4475241316314864,0,4,1,19,6,2258,421,215643,71912,2530.083333333333,0.9646892778190906,6,143731,0.253529,0.2073306588153354,397.0265572100904,0.3988115900833663,0,60.0
33,23139,533,0,1,9,36989,48,0,0,2,274,0.4058671844677765,2,2,0.0902960852739786,0,0,0,24,25,1916,1751,99108,61017,1928.25,0.7172237569100015,4,38091,0.265489,0.2820262205783564,1293.438188675294,0.8128812076625407,0,53.0
50,121299,601,1,2,30,13638,36,3,1,3,813,0.0378069710789138,6,3,0.6795985858946277,0,1,0,29,19,1192,1581,56400,14999,10108.25,0.7305682372010612,3,41401,0.198138,0.1944199904567226,502.967774379372,0.1301874977745279,1,44.0
46,99640,554,0,3,25,5008,24,0,0,1,516,0.4215305786087414,2,0,0.1887803178395584,0,0,1,25,18,17305,1192,124512,17987,8303.333333333334,0.8321824855116731,4,106525,0.203008,0.1888231851590725,252.1601115078168,0.0925122575079666,1,41.6
43,27999,631,0,2,21,66783,48,0,1,1,356,0.2747792885256742,4,1,0.1131601824148907,1,3,0,23,22,3463,2394,67097,5063,2333.25,0.8712063768722659,3,62034,0.246283,0.2339647260982847,2155.02619936924,1.0761925208911345,0,59.0
